Industry,Ticker,Company,Date,PE Ratio,Price to Sales,EV/EBITDA
Entertainment,NFLX,Netflix,6/28/19,144.05,9.10,79.20
Entertainment,NFLX,Netflix,9/30/19,85.50,6.20,47.51
Entertainment,NFLX,Netflix,12/31/19,78.35,7.03,52.70
Entertainment,NFLX,Netflix,1/31/20,83.56,7.50,55.64
Entertainment,NFLX,Netflix,3/13/20,81.43,7.30,54.32
Entertainment,NFLX,Netflix,3/23/20,87.23,7.83,57.91
Entertainment,NFLX,Netflix,3/27/20,86.47,7.76,57.44
Entertainment,NFLX,Netflix,3/31/20,76.01,7.69,51.93
Entertainment,NFLX,Netflix,4/16/20,88.90,9.00,60.18
Entertainment,ATVI,Activison Blizzard,6/28/19,22.16,5.07,12.38
Entertainment,ATVI,Activison Blizzard,9/30/19,24.79,5.88,14.25
Entertainment,ATVI,Activison Blizzard,12/31/19,30.85,7.02,19.14
Entertainment,ATVI,Activison Blizzard,1/31/20,30.36,6.91,18.82
Entertainment,ATVI,Activison Blizzard,3/13/20,30.65,6.97,19.04
Entertainment,ATVI,Activison Blizzard,3/23/20,29.32,6.67,18.15
Entertainment,ATVI,Activison Blizzard,3/27/20,29.57,6.73,18.32
Entertainment,ATVI,Activison Blizzard,3/31/20,30.36,7.08,19.28
Entertainment,ATVI,Activison Blizzard,4/16/20,34.74,8.10,22.26
Entertainment,CNK,Cinemark,6/28/19,16.29,1.30,7.21
Entertainment,CNK,Cinemark,9/30/19,17.62,1.36,7.65
Entertainment,CNK,Cinemark,12/31/19,16.14,1.20,7.19
Entertainment,CNK,Cinemark,1/31/20,15.02,1.12,6.90
Entertainment,CNK,Cinemark,3/13/20,7.01,0.52,4.84
Entertainment,CNK,Cinemark,3/23/20,5.86,0.44,4.54
Entertainment,CNK,Cinemark,3/27/20,5.86,0.44,4.55
Entertainment,CNK,Cinemark,3/31/20,4.86,0.36,4.29
Entertainment,CNK,Cinemark,4/16/20,5.54,0.41,4.47
Entertainment,LYV,Live Nation Entertainment,6/28/19,253.04,1.22,18.68
Entertainment,LYV,Live Nation Entertainment,9/30/19,294.73,1.23,18.39
Entertainment,LYV,Live Nation Entertainment,12/31/19,1569.30,1.30,19.28
Entertainment,LYV,Live Nation Entertainment,1/31/20,1496.60,1.24,18.54
Entertainment,LYV,Live Nation Entertainment,3/13/20,940.87,0.78,12.90
Entertainment,LYV,Live Nation Entertainment,3/23/20,819.66,0.68,11.66
Entertainment,LYV,Live Nation Entertainment,3/27/20,1035.30,0.86,13.87
Entertainment,LYV,Live Nation Entertainment,3/31/20,-72.38,0.86,14.83
Entertainment,LYV,Live Nation Entertainment,4/16/20,-58.37,0.69,12.52
Retail,AMZN,Amazon,6/28/19,78.57,3.69,26.35
Retail,AMZN,Amazon,9/30/19,76.88,3.22,23.51
Retail,AMZN,Amazon,12/31/19,80.31,3.25,23.47
Retail,AMZN,Amazon,1/31/20,87.30,3.54,25.56
Retail,AMZN,Amazon,3/13/20,77.58,3.14,22.78
Retail,AMZN,Amazon,3/23/20,82.70,3.35,24.25
Retail,AMZN,Amazon,3/27/20,82.58,3.35,24.21
Retail,AMZN,Amazon,3/31/20,93.15,3.26,24.80
Retail,AMZN,Amazon,4/16/20,115.06,4.03,30.50
Retail,EBAY,Ebay,6/28/19,18.19,3.41,11.62
Retail,EBAY,Ebay,9/30/19,18.62,3.24,11.33
Retail,EBAY,Ebay,12/31/19,14.03,2.89,10.95
Retail,EBAY,Ebay,1/31/20,13.04,2.69,10.12
Retail,EBAY,Ebay,3/13/20,13.20,2.72,10.23
Retail,EBAY,Ebay,3/23/20,10.23,2.11,8.32
Retail,EBAY,Ebay,3/27/20,11.72,2.42,9.28
Retail,EBAY,Ebay,3/31/20,11.87,2.32,8.84
Retail,EBAY,Ebay,4/16/20,14.70,2.87,10.64
Retail,BIG,Big LOTS,6/28/19,7.29,0.22,NA
Retail,BIG,Big LOTS,9/30/19,6.34,0.18,NA
Retail,BIG,Big LOTS,12/31/19,7.47,0.21,NA
Retail,BIG,Big LOTS,1/31/20,7.44,0.20,3.31
Retail,BIG,Big LOTS,3/13/20,3.88,0.10,2.65
Retail,BIG,Big LOTS,3/23/20,3.19,0.09,2.53
Retail,BIG,Big LOTS,3/27/20,3.57,0.10,2.60
Retail,BIG,Big LOTS,3/31/20,3.91,0.10,2.66
Retail,BIG,Big LOTS,4/16/20,5.14,0.14,2.89
Retail,M,Macy's,6/28/19,6.77,0.26,4.54
